Definition,Definition (Numbers),Display Name,Display Name (Numbers),Regular Expression,Kind/Type Order,Units/Facets (Boolean),Units/Facets (String/Enumeration),Units/Facets (Imperial),Units/Facets (Metric),Precision (Imperial),Precision (Metric),Stage,Phase,Markers,Equipment
aexExhaustFanVoltage,aexExhaustFanVoltage,Air Exchanger Exhaust Fan Voltage,Air Exchanger Exhaust Fan Voltage,aexExhaustFanVoltage,Number,,,volt,volt,1,1,,N,"aex,exhaust,air,fan,volt,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustFlow,aexExhaustFlow,Air Exchanger Exhaust Flow,Air Exchanger Exhaust Flow,aexExhaustFlow,Number,,,cubic_feet_per_minute,liters_per_second,0,0,,,"aex,exhaust,air,flow,sensor","AFMS,AHU,CU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustHumidity,aexExhaustHumidity,Air Exchanger Exhaust Humidity,Air Exchanger Exhaust Humidity,aexExhaustHumidity,Number,,,percent_relative_humidity,percent_relative_humidity,1,1,,,"aex,exhaust,air,humidity,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustIsoDamper,aexExhaustIsoDamper,Air Exchanger Exhaust Isolation Damper Command,Air Exchanger Exhaust Isolation Damper Command,aexExhaustIsoDamper,Bool,Open/Closed,Open/Closed,percent,percent,1,1,,,"aex,exhaust,iso,air,damper,status,cmd","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustIsoDamperFb,aexExhaustIsoDamperFb,Air Exchanger Exhaust Isolation Damper Feedback,Air Exchanger Exhaust Isolation Damper Feedback,aexExhaustIsoDamperFb,Bool,Open/Closed,Open/Closed,percent,percent,1,1,,,"aex,exhaust,iso,air,damper,status,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustPressure,aexExhaustPressure,Air Exchanger Exhaust Pressure,Air Exchanger Exhaust Pressure,aexExhaustPressure,Number,,,inches_of_water,pascal,2,1,,,"aex,exhaust,air,static,pressure,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustTemp,aexExhaustTemp,Air Exchanger Exhaust Temperature,Air Exchanger Exhaust Temperature,aexExhaustTemp,Number,,,fahrenheit,celsius,1,1,,,"aex,exhaust,air,temp,sensor","AFMS,AHU,DHU,DOAS,ERU,HRU,RTU"
aexExhaustVelPressure,aexExhaustVelPressure,Air Exchanger Exhaust Velocity Pressure,Air Exchanger Exhaust Velocity Pressure,aexExhaustVelPressure,Number,,,inches_of_water,pascal,2,1,,,"aex,exhaust,air,dynamic,pressure,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexFaceBypassDamper,aexFaceBypassDamper,Air Exchanger Face Bypass Damper Command,Air Exchanger Face Bypass Damper Command,aexFaceBypassDamper,Number,Open/Closed,Open/Closed,percent,percent,1,1,,,"aex,faceBypass,damper,position,cmd","AHU,DHU,DOAS,ERU,HRU,RTU"
aexFaceBypassDamperAlarm,aexFaceBypassDamperAlarm,Air Exchanger Face Bypass Damper Alarm,Air Exchanger Face Bypass Damper Alarm,aexFaceBypassDamperAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"aex,faceBypass,damper,position,alarm","AHU,DHU,DOAS,ERU,HRU,RTU"
aexFaceBypassDamperFb,aexFaceBypassDamperFb,Air Exchanger Face Bypass Damper Feedback,Air Exchanger Face Bypass Damper Feedback,aexFaceBypassDamperFb,Number,Open/Closed,Open/Closed,percent,percent,1,1,,,"aex,faceBypass,damper,position,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexFaceDamper,aexFaceDamper,Air Exchanger Face Damper Command,Air Exchanger Face Damper Command,aexFaceDamper,Number,Open/Closed,Open/Closed,percent,percent,1,1,,,"aex,face,damper,position,cmd","AHU,DHU,DOAS,ERU,HRU,RTU"
aexFaceDamperEnableDb,aexFaceDamperEnableDb,Air Exchanger Face Damper Enable Deadband,Air Exchanger Face Damper Enable Deadband,aexFaceDamperEnableDb,Number,,,fahrenheit_degrees,celsius_degrees,1,1,,,"aex,face,damper,position,enable,deadband,sp","AHU,DHU,DOAS,ERU,HRU,RTU"
aexFaceDamperFb,aexFaceDamperFb,Air Exchanger Face Damper Feedback,Air Exchanger Face Damper Feedback,aexFaceDamperFb,Number,Open/Closed,Open/Closed,percent,percent,1,1,,,"aex,face,damper,position,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideEnthalpy,aexOutsideEnthalpy,Air Exchanger Outside Enthalpy,Air Exchanger Outside Enthalpy,aexOutsideEnthalpy,Number,,,btu_per_pound,kilojoules_per_kilogram,1,1,,,"aex,outside,air,enthalpy,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFan,aexOutsideFan,Air Exchanger Outside Fan Command,Air Exchanger Outside Fan Command,aexOutsideFan,Bool,On/Off,On/Off,,,,,,,"aex,outside,air,fan,status,cmd","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanAlarm,aexOutsideFanAlarm,Air Exchanger Outside Fan Alarm,Air Exchanger Outside Fan Alarm,aexOutsideFanAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"aex,outside,air,fan,common,alarm","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanAlarmReset,aexOutsideFanAlarmReset,Air Exchanger Outside Fan Alarm Reset,Air Exchanger Outside Fan Alarm Reset,aexOutsideFanAlarmReset,Bool,Reset/Normal,Reset/Normal,,,,,,,"aex,air,fan,alarm,reset,outside","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanBypass,aexOutsideFanBypass,Air Exchanger Outside Fan Bypass,Air Exchanger Outside Fan Bypass,aexOutsideFanBypass,Bool,Bypass/Normal,Bypass/Normal,,,,,,,"aex,outside,air,fan,bypass,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanCurrent,aexOutsideFanCurrent,Air Exchanger Outside Fan Current,Air Exchanger Outside Fan Current,aexOutsideFanCurrent,Number,,,ampere,ampere,1,1,,N,"aex,outside,air,fan,current,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanDCVoltage,aexOutsideFanDCVoltage,Air Exchanger Outside Fan DC Voltage,Air Exchanger Outside Fan DC Voltage,aexOutsideFanDCVoltage,Number,,,volt,volt,1,1,,,"aex,outside,air,fan,dcVolt,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanDirection,aexOutsideFanDirection,Air Exchanger Outside Fan Direction,Air Exchanger Outside Fan Direction,aexOutsideFanDirection,Bool,Forward/Reverse,Forward/Reverse,,,,,,,"aex,outside,air,fan,direction,cmd","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanDriveAlarm,aexOutsideFanDriveAlarm,Air Exchanger Outside Fan Drive Alarm,Air Exchanger Outside Fan Drive Alarm,aexOutsideFanDriveAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"aex,outside,air,fan,drive,alarm","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanDriveTemp,aexOutsideFanDriveTemp,Air Exchanger Outside Fan Drive Temperature,Air Exchanger Outside Fan Drive Temperature,aexOutsideFanDriveTemp,Number,,,fahrenheit,celsius,1,1,,,"aex,outside,air,fan,driveTemp,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanEnergy,aexOutsideFanEnergy,Air Exchanger Outside Fan Energy,Air Exchanger Outside Fan Energy,aexOutsideFanEnergy,Number,,,kilowatt_hour,kilowatt_hour,0,0,,,"aex,outside,air,fan,energy,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanEnteringPressure,aexOutsideFanEnteringPressure,Air Exchanger Outside Fan Entering Pressure,Air Exchanger Outside Fan Entering Pressure,aexOutsideFanEnteringPressure,Number,,,inches_of_water,pascal,2,1,,,"aex,outside,air,fan,entering,pressure,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanFault,aexOutsideFanFault,Air Exchanger Outside Fan Fault,Air Exchanger Outside Fan Fault,aexOutsideFanFault,Bool,Fault/Normal,Fault/Normal,,,,,,,"aex,outside,air,fan,fault","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanFrequency,aexOutsideFanFrequency,Air Exchanger Outside Fan Frequency,Air Exchanger Outside Fan Frequency,aexOutsideFanFrequency,Number,,,hertz,hertz,1,1,,,"aex,outside,air,fan,freq,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanHandMode,aexOutsideFanHandMode,Air Exchanger Outside Fan Hand/Auto Mode,Air Exchanger Outside Fan Hand/Auto Mode,aexOutsideFanHandMode,Bool,Hand/Auto,Hand/Auto,,,,,,,"aex,outside,air,fan,handMode,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanLeavingPressure,aexOutsideFanLeavingPressure,Air Exchanger Outside Fan Leaving Pressure,Air Exchanger Outside Fan Leaving Pressure,aexOutsideFanLeavingPressure,Number,,,inches_of_water,pascal,2,1,,,"aex,outside,air,fan,leaving,pressure,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanMaintSwitch,aexOutsideFanMaintSwitch,Air Exchanger Outside Fan Maintenance Switch,Air Exchanger Outside Fan Maintenance Switch,aexOutsideFanMaintSwitch,Bool,On/Off,On/Off,,,,,,,"maintenance,switch,cmd,aex,fan,air,outside","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanMotorShortAlarm,aexOutsideFanMotorShortAlarm,Air Exchanger Outside Fan Motor Short Alarm,Air Exchanger Outside Fan Motor Short Alarm,aexOutsideFanMotorShortAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"aex,outside,air,fan,motor,short,alarm","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanMotorSpeed,aexOutsideFanMotorSpeed,Air Exchanger Outside Fan Motor Speed,Air Exchanger Outside Fan Motor Speed,aexOutsideFanMotorSpeed,Number,,,revolutions_per_minute,revolutions_per_minute,0,0,,,"aex,outside,air,fan,motorSpeed,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanMotorTemp,aexOutsideFanMotorTemp,Air Exchanger Outside Fan Motor Temperature,Air Exchanger Outside Fan Motor Temperature,aexOutsideFanMotorTemp,Number,,,fahrenheit,celsius,1,1,,,"aex,outside,air,fan,motorTemp,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanOvr,aexOutsideFanOvr,Air Exchanger Outside Fan Override,Air Exchanger Outside Fan Override,aexOutsideFanOvr,Bool,On/Off,On/Off,,,,,,,"aex,outside,air,fan,status,ovr","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanPowerReal,aexOutsideFanPowerReal,Air Exchanger Outside Fan Real Power,Air Exchanger Outside Fan Real Power,aexOutsideFanPowerReal,Number,,,kilowatt,kilowatt,1,1,,N,"aex,outside,air,fan,power,real,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanPressureDelta,aexOutsideFanPressureDelta,Air Exchanger Outside Fan Pressure Delta,Air Exchanger Outside Fan Pressure Delta,aexOutsideFanPressureDelta,Number,,,inches_of_water,pascal,2,1,,,"aex,outside,air,fan,common,pressure,delta,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanPressureHiAlarm,aexOutsideFanPressureHiAlarm,Air Exchanger Outside Fan Pressure High Alarm,Air Exchanger Outside Fan Pressure High Alarm,aexOutsideFanPressureHiAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"aex,outside,air,fan,pressure,high,alarm","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanPressureHiSp,aexOutsideFanPressureHiSp,Air Exchanger Outside Fan Pressure High Setpoint,Air Exchanger Outside Fan Pressure High Setpoint,aexOutsideFanPressureHiSp,Number,,,inches_of_water,pascal,2,1,,,"aex,outside,air,fan,pressure,high,sp","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanPressureLoAlarm,aexOutsideFanPressureLoAlarm,Air Exchanger Outside Fan Pressure Low Alarm,Air Exchanger Outside Fan Pressure Low Alarm,aexOutsideFanPressureLoAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"aex,outside,air,fan,pressure,low,alarm","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanPressureLoSp,aexOutsideFanPressureLoSp,Air Exchanger Outside Fan Pressure Low Setpoint,Air Exchanger Outside Fan Pressure Low Setpoint,aexOutsideFanPressureLoSp,Number,,,inches_of_water,pascal,2,1,,,"aex,outside,air,fan,pressure,low,sp","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanRuntime,aexOutsideFanRuntime,Air Exchanger Outside Fan Runtime,Air Exchanger Outside Fan Runtime,aexOutsideFanRuntime,Number,,,hour,hour,1,1,,,blacklist,"AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanRuntime,aexOutsideFanRuntime,Air Exchanger Outside Fan Runtime,Air Exchanger Outside Fan Runtime,aexOutsideFanRuntime,Number,,,hour,hour,1,1,,,blacklist,"AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanSpeed,aexOutsideFanSpeed,Air Exchanger Outside Fan Speed,Air Exchanger Outside Fan Speed,aexOutsideFanSpeed,Number,,,percent,percent,1,1,,,"aex,outside,air,fan,speed,cmd","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanSpeedFb,aexOutsideFanSpeedFb,Air Exchanger Outside Fan Speed Feedback,Air Exchanger Outside Fan Speed Feedback,aexOutsideFanSpeedFb,Number,,,percent,percent,1,1,,,"aex,outside,air,fan,speed,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanSpeedMaxSp,aexOutsideFanSpeedMaxSp,Air Exchanger Outside Fan Speed Max Setpoint,Air Exchanger Outside Fan Speed Max Setpoint,aexOutsideFanSpeedMaxSp,Number,,,percent,percent,1,1,,,"aex,outside,air,fan,speed,max,sp","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanSpeedMinSp,aexOutsideFanSpeedMinSp,Air Exchanger Outside Fan Speed Min Setpoint,Air Exchanger Outside Fan Speed Min Setpoint,aexOutsideFanSpeedMinSp,Number,,,percent,percent,1,1,,,"aex,outside,air,fan,speed,min,sp","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanSpeedOvr,aexOutsideFanSpeedOvr,Air Exchanger Outside Fan Speed Override,Air Exchanger Outside Fan Speed Override,aexOutsideFanSpeedOvr,Number,,,percent,percent,1,1,,,"aex,outside,air,fan,speed,ovr","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanSpeedSp,aexOutsideFanSpeedSp,Air Exchanger Outside Fan Speed Setpoint,Air Exchanger Outside Fan Speed Setpoint,aexOutsideFanSpeedSp,Number,,,percent,percent,1,1,,,"aex,outside,air,fan,speed,effective,sp","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanStarts,aexOutsideFanStarts,Air Exchanger Outside Fan Starts,Air Exchanger Outside Fan Starts,aexOutsideFanStarts,Number,,,,,0,0,,,"aex,outside,air,fan,starts,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanStatus,aexOutsideFanStatus,Air Exchanger Outside Fan Status,Air Exchanger Outside Fan Status,aexOutsideFanStatus,Bool,On/Off,On/Off,,,,,,,"aex,outside,air,fan,status,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanTorque,aexOutsideFanTorque,Air Exchanger Outside Fan Torque,Air Exchanger Outside Fan Torque,aexOutsideFanTorque,Number,,,percent,percent,1,1,,,"aex,outside,air,fan,torque,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFanVoltage,aexOutsideFanVoltage,Air Exchanger Outside Fan Voltage,Air Exchanger Outside Fan Voltage,aexOutsideFanVoltage,Number,,,volt,volt,1,1,,N,"aex,outside,air,fan,volt,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFilterAlarm,aexOutsideFilterAlarm,Air Exchanger Outside Filter Alarm,Air Exchanger Outside Filter Alarm,aexOutsideFilterAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"aex,outside,air,filter,common,alarm","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFilterAlarmReset,aexOutsideFilterAlarmReset,Air Exchanger Outside Filter Alarm Reset,Air Exchanger Outside Filter Alarm Reset,aexOutsideFilterAlarmReset,Bool,Reset/Normal,Reset/Normal,,,,,,,"aex,outside,air,filter,reset,alarm","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFilterPressureDelta,aexOutsideFilterPressureDelta,Air Exchanger Outside Filter Pressure Delta,Air Exchanger Outside Filter Pressure Delta,aexOutsideFilterPressureDelta,Number,,,inches_of_water,pascal,2,1,,,"aex,outside,air,filter,pressure,delta,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFilterRuntime,aexOutsideFilterRuntime,Air Exchanger Outside Filter Runtime,Air Exchanger Outside Filter Runtime,aexOutsideFilterRuntime,Number,,,hour,hour,1,1,,,blacklist,"AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFilterRuntime,aexOutsideFilterRuntime,Air Exchanger Outside Filter Runtime,Air Exchanger Outside Filter Runtime,aexOutsideFilterRuntime,Number,,,hour,hour,1,1,,,blacklist,"AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideFlow,aexOutsideFlow,Air Exchanger Outside Flow,Air Exchanger Outside Flow,aexOutsideFlow,Number,,,cubic_feet_per_minute,liters_per_second,0,0,,,"aex,outside,air,flow,sensor","AFMS,AHU,CU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideHumidity,aexOutsideHumidity,Air Exchanger Outside Humidity,Air Exchanger Outside Humidity,aexOutsideHumidity,Number,,,percent_relative_humidity,percent_relative_humidity,1,1,,,"aex,outside,air,humidity,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideIsoDamper,aexOutsideIsoDamper,Air Exchanger Outside Isolation Damper Command,Air Exchanger Outside Isolation Damper Command,aexOutsideIsoDamper,Bool,Open/Closed,Open/Closed,percent,percent,1,1,,,"aex,outside,iso,air,damper,status,cmd","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideIsoDamperFb,aexOutsideIsoDamperFb,Air Exchanger Outside Isolation Damper Feedback,Air Exchanger Outside Isolation Damper Feedback,aexOutsideIsoDamperFb,Bool,Open/Closed,Open/Closed,percent,percent,1,1,,,"aex,outside,iso,air,damper,status,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsidePressure,aexOutsidePressure,Air Exchanger Outside Pressure,Air Exchanger Outside Pressure,aexOutsidePressure,Number,,,inches_of_water,pascal,2,1,,,"aex,outside,air,static,pressure,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideTemp,aexOutsideTemp,Air Exchanger Outside Temperature,Air Exchanger Outside Temperature,aexOutsideTemp,Number,,,fahrenheit,celsius,1,1,,,"aex,outside,air,temp,sensor","AFMS,AHU,DHU,DOAS,ERU,HRU,RTU"
aexOutsideVelPressure,aexOutsideVelPressure,Air Exchanger Outside Velocity Pressure,Air Exchanger Outside Velocity Pressure,aexOutsideVelPressure,Number,,,inches_of_water,pascal,2,1,,,"aex,outside,air,dynamic,pressure,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexPressureDeltaHiAlarm,aexPressureDeltaHiAlarm,Air Exchanger Pressure Delta High Alarm,Air Exchanger Pressure Delta High Alarm,aexPressureDeltaHiAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"aex,pressure,delta,high,alarm","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnEnthalpy,aexReturnEnthalpy,Air Exchanger Return Enthalpy,Air Exchanger Return Enthalpy,aexReturnEnthalpy,Number,,,btu_per_pound,kilojoules_per_kilogram,1,1,,,"aex,return,air,enthalpy,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFan,aexReturnFan,Air Exchanger Return Fan Command,Air Exchanger Return Fan Command,aexReturnFan,Bool,On/Off,On/Off,,,,,,,"aex,return,air,fan,status,cmd","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFanAlarm,aexReturnFanAlarm,Air Exchanger Return Fan Alarm,Air Exchanger Return Fan Alarm,aexReturnFanAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"aex,return,air,fan,common,alarm","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFanAlarmReset,aexReturnFanAlarmReset,Air Exchanger Return Fan Alarm Reset,Air Exchanger Return Fan Alarm Reset,aexReturnFanAlarmReset,Bool,Reset/Normal,Reset/Normal,,,,,,,"aex,air,fan,alarm,reset,return","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFanBypass,aexReturnFanBypass,Air Exchanger Return Fan Bypass,Air Exchanger Return Fan Bypass,aexReturnFanBypass,Bool,Bypass/Normal,Bypass/Normal,,,,,,,"aex,return,air,fan,bypass,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFanCurrent,aexReturnFanCurrent,Air Exchanger Return Fan Current,Air Exchanger Return Fan Current,aexReturnFanCurrent,Number,,,ampere,ampere,1,1,,N,"aex,return,air,fan,current,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFanDCVoltage,aexReturnFanDCVoltage,Air Exchanger Return Fan DC Voltage,Air Exchanger Return Fan DC Voltage,aexReturnFanDCVoltage,Number,,,volt,volt,1,1,,,"aex,return,air,fan,dcVolt,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFanDirection,aexReturnFanDirection,Air Exchanger Return Fan Direction,Air Exchanger Return Fan Direction,aexReturnFanDirection,Bool,Forward/Reverse,Forward/Reverse,,,,,,,"aex,return,air,fan,direction,cmd","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFanDriveAlarm,aexReturnFanDriveAlarm,Air Exchanger Return Fan Drive Alarm,Air Exchanger Return Fan Drive Alarm,aexReturnFanDriveAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"aex,return,air,fan,drive,alarm","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFanDriveTemp,aexReturnFanDriveTemp,Air Exchanger Return Fan Drive Temperature,Air Exchanger Return Fan Drive Temperature,aexReturnFanDriveTemp,Number,,,fahrenheit,celsius,1,1,,,"aex,return,air,fan,driveTemp,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFanEnergy,aexReturnFanEnergy,Air Exchanger Return Fan Energy,Air Exchanger Return Fan Energy,aexReturnFanEnergy,Number,,,kilowatt_hour,kilowatt_hour,0,0,,,"aex,return,air,fan,energy,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFanEnteringPressure,aexReturnFanEnteringPressure,Air Exchanger Return Fan Entering Pressure,Air Exchanger Return Fan Entering Pressure,aexReturnFanEnteringPressure,Number,,,inches_of_water,pascal,2,1,,,"aex,return,air,fan,entering,pressure,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFanFault,aexReturnFanFault,Air Exchanger Return Fan Fault,Air Exchanger Return Fan Fault,aexReturnFanFault,Bool,Fault/Normal,Fault/Normal,,,,,,,"aex,return,air,fan,fault","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFanFrequency,aexReturnFanFrequency,Air Exchanger Return Fan Frequency,Air Exchanger Return Fan Frequency,aexReturnFanFrequency,Number,,,hertz,hertz,1,1,,,"aex,return,air,fan,freq,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFanHandMode,aexReturnFanHandMode,Air Exchanger Return Fan Hand/Auto Mode,Air Exchanger Return Fan Hand/Auto Mode,aexReturnFanHandMode,Bool,Hand/Auto,Hand/Auto,,,,,,,"aex,return,air,fan,handMode,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFanLeavingPressure,aexReturnFanLeavingPressure,Air Exchanger Return Fan Leaving Pressure,Air Exchanger Return Fan Leaving Pressure,aexReturnFanLeavingPressure,Number,,,inches_of_water,pascal,2,1,,,"aex,return,air,fan,leaving,pressure,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFanMaintSwitch,aexReturnFanMaintSwitch,Air Exchanger Return Fan Maintenance Switch,Air Exchanger Return Fan Maintenance Switch,aexReturnFanMaintSwitch,Bool,On/Off,On/Off,,,,,,,"maintenance,switch,cmd,aex,fan,air,return","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFanMotorShortAlarm,aexReturnFanMotorShortAlarm,Air Exchanger Return Fan Motor Short Alarm,Air Exchanger Return Fan Motor Short Alarm,aexReturnFanMotorShortAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"aex,return,air,fan,motor,short,alarm","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFanMotorSpeed,aexReturnFanMotorSpeed,Air Exchanger Return Fan Motor Speed,Air Exchanger Return Fan Motor Speed,aexReturnFanMotorSpeed,Number,,,revolutions_per_minute,revolutions_per_minute,0,0,,,"aex,return,air,fan,motorSpeed,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFanMotorTemp,aexReturnFanMotorTemp,Air Exchanger Return Fan Motor Temperature,Air Exchanger Return Fan Motor Temperature,aexReturnFanMotorTemp,Number,,,fahrenheit,celsius,1,1,,,"aex,return,air,fan,motorTemp,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFanOvr,aexReturnFanOvr,Air Exchanger Return Fan Override,Air Exchanger Return Fan Override,aexReturnFanOvr,Bool,On/Off,On/Off,,,,,,,"aex,return,air,fan,status,ovr","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFanPowerReal,aexReturnFanPowerReal,Air Exchanger Return Fan Real Power,Air Exchanger Return Fan Real Power,aexReturnFanPowerReal,Number,,,kilowatt,kilowatt,1,1,,N,"aex,return,air,fan,power,real,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFanPressureDelta,aexReturnFanPressureDelta,Air Exchanger Return Fan Pressure Delta,Air Exchanger Return Fan Pressure Delta,aexReturnFanPressureDelta,Number,,,inches_of_water,pascal,2,1,,,"aex,return,air,fan,common,pressure,delta,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFanPressureHiAlarm,aexReturnFanPressureHiAlarm,Air Exchanger Return Fan Pressure High Alarm,Air Exchanger Return Fan Pressure High Alarm,aexReturnFanPressureHiAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"aex,return,air,fan,pressure,high,alarm","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFanPressureHiSp,aexReturnFanPressureHiSp,Air Exchanger Return Fan Pressure High Setpoint,Air Exchanger Return Fan Pressure High Setpoint,aexReturnFanPressureHiSp,Number,,,inches_of_water,pascal,2,1,,,"aex,return,air,fan,pressure,high,sp","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFanPressureLoAlarm,aexReturnFanPressureLoAlarm,Air Exchanger Return Fan Pressure Low Alarm,Air Exchanger Return Fan Pressure Low Alarm,aexReturnFanPressureLoAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"aex,return,air,fan,pressure,low,alarm","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFanPressureLoSp,aexReturnFanPressureLoSp,Air Exchanger Return Fan Pressure Low Setpoint,Air Exchanger Return Fan Pressure Low Setpoint,aexReturnFanPressureLoSp,Number,,,inches_of_water,pascal,2,1,,,"aex,return,air,fan,pressure,low,sp","AHU,DHU,DOAS,ERU,HRU,RTU"
